iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
PNG,598,Papua,20130,Western Coral Triangle,30,Central Indo-Pacific,6
ARG,32,Patagonian Shelf,25185,Magellanic,48,Temperate South America,9
CHL,152,Patagonian Shelf,25185,Magellanic,48,Temperate South America,9
ASM,16,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
COK,184,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
KIR,296,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
TKL,772,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
UMI,581,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
WLF,876,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
WSM,882,Phoenix/Tokelau/Northern Cook Islands,20156,Central Polynesia,39,Eastern Indo-Pacific,7
ZAF,710,Prince Edward Islands,20216,Subantarctic Islands,59,Southern Ocean,12
CAN,124,Puget Trough/Georgia Basin,25056,Cold Temperate Northeast Pacific,10,Temperate Northern Pacific,3
USA,840,Puget Trough/Georgia Basin,25056,Cold Temperate Northeast Pacific,10,Temperate Northern Pacific,3
PCN,612,Rapa-Pitcairn,20159,Southeast Polynesia,40,Eastern Indo-Pacific,7
PYF,258,Rapa-Pitcairn,20159,Southeast Polynesia,40,Eastern Indo-Pacific,7
MEX,484,Revillagigedos,20164,Tropical East Pacific,43,Tropical Eastern Pacific,8
BRA,76,Rio Grande,20181,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
URY,858,Rio Grande,20181,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
ARG,32,Rio de la Plata,20182,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
URY,858,Rio de la Plata,20182,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
ESP,724,Saharan Upwelling,20028,Lusitanian,3,Temperate Northern Atlantic,2
MAR,504,Saharan Upwelling,20028,Lusitanian,3,Temperate Northern Atlantic,2
MRT,478,Saharan Upwelling,20028,Lusitanian,3,Temperate Northern Atlantic,2
PRT,620,Saharan Upwelling,20028,Lusitanian,3,Temperate Northern Atlantic,2
CPV,132,Sahelian Upwelling,25080,West African Transition,16,Tropical Atlantic,4
GMB,270,Sahelian Upwelling,25080,West African Transition,16,Tropical Atlantic,4
MRT,478,Sahelian Upwelling,25080,West African Transition,16,Tropical Atlantic,4
SEN,686,Sahelian Upwelling,25080,West African Transition,16,Tropical Atlantic,4
ASM,16,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
FJI,242,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
NIU,570,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
TON,776,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
TUV,798,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
WLF,876,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
WSM,882,Samoa Islands,20157,Central Polynesia,39,Eastern Indo-Pacific,7
BRA,76,Sao Pedro and Sao Paulo Islands,20073,Tropical Southwestern Atlantic,14,Tropical Atlantic,4
CAN,124,Scotian Shelf,20039,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
JPN,392,Sea of Japan/East Sea,20049,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
KOR,410,Sea of Japan/East Sea,20049,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
PRK,408,Sea of Japan/East Sea,20049,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
RUS,643,Sea of Japan/East Sea,20049,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
JPN,392,Sea of Okhotsk,20045,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
RUS,643,Sea of Okhotsk,20045,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
COM,174,Seychelles,20096,Western Indian Ocean,20,Western Indo-Pacific,5
MDG,450,Seychelles,20096,Western Indian Ocean,20,Western Indo-Pacific,5
MUS,480,Seychelles,20096,Western Indian Ocean,20,Western Indo-Pacific,5
SYC,690,Seychelles,20096,Western Indian Ocean,20,Western Indo-Pacific,5
AUS,36,Shark Bay,20210,West Central Australian Shelf,58,Temperate Australasia,11
NZL,554,Snares Island,20201,Southern New Zealand,54,Temperate Australasia,11
PYF,258,Society Islands,20161,Southeast Polynesia,40,Eastern Indo-Pacific,7
FSM,583,Solomon Archipelago,20135,Eastern Coral Triangle,31,Central Indo-Pacific,6
PNG,598,Solomon Archipelago,20135,Eastern Coral Triangle,31,Central Indo-Pacific,6
SLB,90,Solomon Archipelago,20135,Eastern Coral Triangle,31,Central Indo-Pacific,6
AUS,36,Solomon Sea,20136,Eastern Coral Triangle,31,Central Indo-Pacific,6
PNG,598,Solomon Sea,20136,Eastern Coral Triangle,31,Central Indo-Pacific,6
SLB,90,Solomon Sea,20136,Eastern Coral Triangle,31,Central Indo-Pacific,6
AUS,36,South Australian Gulfs,20207,Southwest Australian Shelf,57,Temperate Australasia,11
BRN,96,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
CHN,156,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
MYS,458,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
PHL,608,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
TWN,158,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
VNM,704,South China Sea Oceanic Islands,20114,South China Sea,25,Central Indo-Pacific,6
ESP,724,South European Atlantic Shelf,20027,Lusitanian,3,Temperate Northern Atlantic,2
FRA,250,South European Atlantic Shelf,20027,Lusitanian,3,Temperate Northern Atlantic,2
PRT,620,South European Atlantic Shelf,20027,Lusitanian,3,Temperate Northern Atlantic,2
IND,356,South India and Sri Lanka,20104,West and South Indian Shelf,21,Western Indo-Pacific,5
LKA,144,South India and Sri Lanka,20104,West and South Indian Shelf,21,Western Indo-Pacific,5
MDV,462,South India and Sri Lanka,20104,West and South Indian Shelf,21,Western Indo-Pacific,5
JPN,392,South Kuroshio,20121,South Kuroshio,28,Central Indo-Pacific,6
PHL,608,South Kuroshio,20121,South Kuroshio,28,Central Indo-Pacific,6
TWN,158,South Kuroshio,20121,South Kuroshio,28,Central Indo-Pacific,6
NZL,554,South New Zealand,20200,Southern New Zealand,54,Temperate Australasia,11
FRO,234,South and West Iceland,20020,Northern European Seas,2,Temperate Northern Atlantic,2
ISL,352,South and West Iceland,20020,Northern European Seas,2,Temperate Northern Atlantic,2
MDG,450,Southeast Madagascar,20099,Western Indian Ocean,20,Western Indo-Pacific,5
REU,638,Southeast Madagascar,20099,Western Indian Ocean,20,Western Indo-Pacific,5
AUS,36,Southeast Papua New Guinea,20137,Eastern Coral Triangle,31,Central Indo-Pacific,6
PNG,598,Southeast Papua New Guinea,20137,Eastern Coral Triangle,31,Central Indo-Pacific,6
BRA,76,Southeastern Brazil,20180,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
MEX,484,Southern California Bight,25059,Warm Temperate Northeast Pacific,11,Temperate Northern Pacific,3
USA,840,Southern California Bight,25059,Warm Temperate Northeast Pacific,11,Temperate Northern Pacific,3
ABW,533,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
BES,535,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
COL,170,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CUW,531,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
DOM,214,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GRD,308,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GUY,328,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
HTI,332,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
JAM,388,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
PRI,630,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
TTO,780,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VEN,862,Southern Caribbean,20066,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CHN,156,Southern China,20113,South China Sea,25,Central Indo-Pacific,6
TWN,158,Southern China,20113,South China Sea,25,Central Indo-Pacific,6
ASM,16,Southern Cook/Austral Islands,20160,Southeast Polynesia,40,Eastern Indo-Pacific,7
COK,184,Southern Cook/Austral Islands,20160,Southeast Polynesia,40,Eastern Indo-Pacific,7
PYF,258,Southern Cook/Austral Islands,20160,Southeast Polynesia,40,Eastern Indo-Pacific,7
CAN,124,Southern Grand Banks - South Newfoundland,20038,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
SPM,666,Southern Grand Banks - South Newfoundland,20038,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
CUB,192,Southern Gulf of Mexico,20069,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MEX,484,Southern Gulf of Mexico,20069,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
USA,840,Southern Gulf of Mexico,20069,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CXR,162,Southern Java,20119,Java Transitional,27,Central Indo-Pacific,6
IDN,360,Southern Java,20119,Java Transitional,27,Central Indo-Pacific,6
GBR,826,Southern Norway,20022,Northern European Seas,2,Temperate Northern Atlantic,2
NOR,578,Southern Norway,20022,Northern European Seas,2,Temperate Northern Atlantic,2
ERI,232,Southern Red Sea,20088,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
SAU,682,Southern Red Sea,20088,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
SDN,729,Southern Red Sea,20088,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
YEM,887,Southern Red Sea,20088,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
VNM,704,Southern Vietnam,20116,Sunda Shelf,26,Central Indo-Pacific,6
COL,170,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CRI,188,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CYM,136,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
HND,340,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
JAM,388,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
NIC,558,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
PAN,591,Southwestern Caribbean,20067,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
SHN,654,St. Helena and Ascension Islands,20078,St. Helena and Ascension Islands,15,Tropical Atlantic,4
IDN,360,Sulawesi Sea/Makassar Strait,20128,Western Coral Triangle,30,Central Indo-Pacific,6
MYS,458,Sulawesi Sea/Makassar Strait,20128,Western Coral Triangle,30,Central Indo-Pacific,6
PHL,608,Sulawesi Sea/Makassar Strait,20128,Western Coral Triangle,30,Central Indo-Pacific,6
IDN,360,Sunda Shelf/Java Sea,20117,Sunda Shelf,26,Central Indo-Pacific,6
MYS,458,Sunda Shelf/Java Sea,20117,Sunda Shelf,26,Central Indo-Pacific,6
THA,764,Sunda Shelf/Java Sea,20117,Sunda Shelf,26,Central Indo-Pacific,6
VNM,704,Sunda Shelf/Java Sea,20117,Sunda Shelf,26,Central Indo-Pacific,6
NFK,574,Three Kings-North Cape,20197,Northern New Zealand,53,Temperate Australasia,11
NZL,554,Three Kings-North Cape,20197,Northern New Zealand,53,Temperate Australasia,11
ASM,16,Tonga Islands,20146,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
FJI,242,Tonga Islands,20146,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
NIU,570,Tonga Islands,20146,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
TON,776,Tonga Islands,20146,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
AUS,36,Torres Strait Northern Great Barrier Reef,20142,Northeast Australian Shelf,33,Central Indo-Pacific,6
PNG,598,Torres Strait Northern Great Barrier Reef,20142,Northeast Australian Shelf,33,Central Indo-Pacific,6
BRA,76,Trindade and Martin Vaz Islands,20077,Tropical Southwestern Atlantic,14,Tropical Atlantic,4
SHN,654,Tristan Gough,20189,Tristan Gough,49,Temperate South America,9
COK,184,Tuamotus,20158,Southeast Polynesia,40,Eastern Indo-Pacific,7
KIR,296,Tuamotus,20158,Southeast Polynesia,40,Eastern Indo-Pacific,7
PCN,612,Tuamotus,20158,Southeast Polynesia,40,Eastern Indo-Pacific,7
PYF,258,Tuamotus,20158,Southeast Polynesia,40,Eastern Indo-Pacific,7
GRC,300,Tunisian Plateau/Gulf of Sidra,25033,Mediterranean Sea,4,Temperate Northern Atlantic,2
ITA,380,Tunisian Plateau/Gulf of Sidra,25033,Mediterranean Sea,4,Temperate Northern Atlantic,2
LBY,434,Tunisian Plateau/Gulf of Sidra,25033,Mediterranean Sea,4,Temperate Northern Atlantic,2
MLT,470,Tunisian Plateau/Gulf of Sidra,25033,Mediterranean Sea,4,Temperate Northern Atlantic,2
TUN,788,Tunisian Plateau/Gulf of Sidra,25033,Mediterranean Sea,4,Temperate Northern Atlantic,2
AUS,36,Tweed-Moreton,20202,East Central Australian Shelf,55,Temperate Australasia,11
ARG,32,Uruguay-Buenos Aires Shelf,20183,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
BRA,76,Uruguay-Buenos Aires Shelf,20183,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
URY,858,Uruguay-Buenos Aires Shelf,20183,Warm Temperate Southwestern Atlantic,47,Temperate South America,9
FJI,242,Vanuatu,20148,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
NCL,540,Vanuatu,20148,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
SLB,90,Vanuatu,20148,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
VUT,548,Vanuatu,20148,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
USA,840,Virginian,20041,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
FSM,583,West Caroline Islands,20125,Tropical Northwestern Pacific,29,Central Indo-Pacific,6
IDN,360,West Caroline Islands,20125,Tropical Northwestern Pacific,29,Central Indo-Pacific,6
PLW,585,West Caroline Islands,20125,Tropical Northwestern Pacific,29,Central Indo-Pacific,6
CAN,124,West Greenland Shelf,20004,Arctic,1,Arctic,1
GRL,304,West Greenland Shelf,20004,Arctic,1,Arctic,1
OMN,512,Western Arabian Sea,20092,Somali/Arabian,19,Western Indo-Pacific,5
YEM,887,Western Arabian Sea,20092,Somali/Arabian,19,Western Indo-Pacific,5
AUS,36,Western Bassian,20206,Southeast Australian Shelf,56,Temperate Australasia,11
BLZ,84,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CUB,192,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CYM,136,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GTM,320,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
HND,340,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MEX,484,Western Caribbean,20068,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
ECU,218,Western Galapagos Islands,20174,Galapagos,44,Tropical Eastern Pacific,8
IND,356,Western India,20103,West and South Indian Shelf,21,Western Indo-Pacific,5
PAK,586,Western India,20103,West and South Indian Shelf,21,Western Indo-Pacific,5
DZA,12,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
ESP,724,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
FRA,250,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
ITA,380,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
MCO,492,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
TUN,788,Western Mediterranean,25035,Mediterranean Sea,4,Temperate Northern Atlantic,2
IDN,360,Western Sumatra,20111,Andaman,24,Western Indo-Pacific,5
THA,764,Western Sumatra,20111,Andaman,24,Western Indo-Pacific,5
ATF,260,Western and Northern Madagascar,20100,Western Indian Ocean,20,Western Indo-Pacific,5
COM,174,Western and Northern Madagascar,20100,Western Indian Ocean,20,Western Indo-Pacific,5
MDG,450,Western and Northern Madagascar,20100,Western Indian Ocean,20,Western Indo-Pacific,5
MOZ,508,Western and Northern Madagascar,20100,Western Indian Ocean,20,Western Indo-Pacific,5
SYC,690,Western and Northern Madagascar,20100,Western Indian Ocean,20,Western Indo-Pacific,5
RUS,643,White Sea,20019,Arctic,1,Arctic,1
CHN,156,Yellow Sea,20050,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
KOR,410,Yellow Sea,20050,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
PRK,408,Yellow Sea,20050,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
