bubble_policy,conservation_ratio,relative_gains_from_trade
Ecoregion (N = 219),0.1,0.606412624008277
Ecoregion (N = 219),0.11,0.5801550892204598
Ecoregion (N = 219),0.12,0.5560162911761576
Ecoregion (N = 219),0.13,0.5362268103517698
Ecoregion (N = 219),0.14,0.518121095362016
Ecoregion (N = 219),0.15,0.5020559697685811
Ecoregion (N = 219),0.16,0.4875268896635035
Ecoregion (N = 219),0.17,0.4740979192352571
Ecoregion (N = 219),0.18,0.4621813901680758
Ecoregion (N = 219),0.19,0.4513465678192171
Ecoregion (N = 219),0.2,0.44200167152239883
Ecoregion (N = 219),0.21,0.4341635430700165
Ecoregion (N = 219),0.22,0.426980632431802
Ecoregion (N = 219),0.23,0.4202295425584554
Ecoregion (N = 219),0.24,0.4136449631833421
Ecoregion (N = 219),0.25,0.4070986521052598
Ecoregion (N = 219),0.26,0.4007581696650064
Ecoregion (N = 219),0.27,0.3937521471707641
Ecoregion (N = 219),0.28,0.38650976871933035
Ecoregion (N = 219),0.29,0.3791226200745285
Ecoregion (N = 219),0.3,0.3723681692742646
Ecoregion (N = 219),0.31,0.3659516958617694
Ecoregion (N = 219),0.32,0.35998592505767063
Ecoregion (N = 219),0.33,0.3542121904437029
Ecoregion (N = 219),0.34,0.34789443555286953
Ecoregion (N = 219),0.35,0.3416332209003836
Ecoregion (N = 219),0.36,0.3353350192360633
Ecoregion (N = 219),0.37,0.3294769854946805
Ecoregion (N = 219),0.38,0.32403458731783535
Ecoregion (N = 219),0.39,0.3191500048287247
Ecoregion (N = 219),0.4,0.313990650966321
Ecoregion (N = 219),0.41,0.3086380175424832
Ecoregion (N = 219),0.42,0.30339495714034903
Ecoregion (N = 219),0.43,0.2980598249133919
Ecoregion (N = 219),0.44,0.29279488527839825
Ecoregion (N = 219),0.45,0.28775037231961825
Ecoregion (N = 219),0.46,0.2825867947282689
Ecoregion (N = 219),0.47,0.2776913870523195
Ecoregion (N = 219),0.48,0.27291489816946585
Ecoregion (N = 219),0.49,0.2677643711296324
Ecoregion (N = 219),0.5,0.2627982803065371
Ecoregion (N = 219),0.51,0.25782128563257484
Ecoregion (N = 219),0.52,0.2529044463020902
Ecoregion (N = 219),0.53,0.24818998344656057
Ecoregion (N = 219),0.54,0.2436654164019807
Ecoregion (N = 219),0.55,0.23877570286662228
Ecoregion (N = 219),0.56,0.23387613276851682
Ecoregion (N = 219),0.57,0.22899989684913657
Ecoregion (N = 219),0.58,0.2244411066308268
Ecoregion (N = 219),0.59,0.22000408033989483
Ecoregion (N = 219),0.6,0.21561936783014146
Ecoregion (N = 219),0.61,0.2111447990357924
Ecoregion (N = 219),0.62,0.20679904432602925
Ecoregion (N = 219),0.63,0.20244012929175753
Ecoregion (N = 219),0.64,0.1980199528255251
Ecoregion (N = 219),0.65,0.1936942436819042
Ecoregion (N = 219),0.66,0.18983864556055535
Ecoregion (N = 219),0.67,0.1861091904148055
Ecoregion (N = 219),0.68,0.18218178569507776
Ecoregion (N = 219),0.69,0.17771373611572486
Ecoregion (N = 219),0.7,0.1732888613757538
Ecoregion (N = 219),0.71,0.16891196152049662
Ecoregion (N = 219),0.72,0.16458365845694603
Ecoregion (N = 219),0.73,0.1604268620509091
Ecoregion (N = 219),0.74,0.15655058210000725
Ecoregion (N = 219),0.75,0.15290203491744925
Ecoregion (N = 219),0.76,0.14930350189357644
Ecoregion (N = 219),0.77,0.1457517491398286
Ecoregion (N = 219),0.78,0.14188300149183528
Ecoregion (N = 219),0.79,0.137515802943672
Ecoregion (N = 219),0.8,0.1329678933273825
Ecoregion (N = 219),0.81,0.12831055850502582
Ecoregion (N = 219),0.82,0.12326010026324576
Ecoregion (N = 219),0.83,0.11814422114970076
Ecoregion (N = 219),0.84,0.11276842623022645
Ecoregion (N = 219),0.85,0.1075550629193373
Ecoregion (N = 219),0.86,0.10240098095409192
Ecoregion (N = 219),0.87,0.09744095818268542
Ecoregion (N = 219),0.88,0.092175909190837
Ecoregion (N = 219),0.89,0.08652373641048101
Ecoregion (N = 219),0.9,0.08177104899218529
Ecoregion (N = 219),0.91,0.07677091020304748
Ecoregion (N = 219),0.92,0.07113112690877724
Ecoregion (N = 219),0.93,0.06429311074956022
Ecoregion (N = 219),0.94,0.056013207889658335
Ecoregion (N = 219),0.95,0.04691125214768911
Ecoregion (N = 219),0.96,0.03811468856752114
Ecoregion (N = 219),0.97,0.02936847145211844
Ecoregion (N = 219),0.98,0.02099178858825485
Ecoregion (N = 219),0.99,0.013052960945378288
Ecoregion (N = 219),1,0
Global (N = 1),0.1,0.9976786528924855
Global (N = 1),0.11,0.9973445010905354
Global (N = 1),0.12,0.9970354820100341
Global (N = 1),0.13,0.9967906106755302
Global (N = 1),0.14,0.9965373867797859
Global (N = 1),0.15,0.9962610914518977
Global (N = 1),0.16,0.9959326551114752
Global (N = 1),0.17,0.9955589045168285
Global (N = 1),0.18,0.9951413760501073
Global (N = 1),0.19,0.9946866619283004
Global (N = 1),0.2,0.9941897731137946
Global (N = 1),0.21,0.9936152153554134
Global (N = 1),0.22,0.9929632480486535
Global (N = 1),0.23,0.9922594736502862
Global (N = 1),0.24,0.9914904177163424
Global (N = 1),0.25,0.9906799501036299
Global (N = 1),0.26,0.9898308805613222
Global (N = 1),0.27,0.9889895963086835
Global (N = 1),0.28,0.9882156051278153
Global (N = 1),0.29,0.9874975263858708
Global (N = 1),0.3,0.9868113427879777
Global (N = 1),0.31,0.9861554914516633
Global (N = 1),0.32,0.9855488877573468
Global (N = 1),0.33,0.9849724063086022
Global (N = 1),0.34,0.984386150056705
Global (N = 1),0.35,0.9837948223919709
Global (N = 1),0.36,0.9832107880787297
Global (N = 1),0.37,0.9826566428596997
Global (N = 1),0.38,0.9821242371364
Global (N = 1),0.39,0.981617728372606
Global (N = 1),0.4,0.9811295494960209
Global (N = 1),0.41,0.9806663294464691
Global (N = 1),0.42,0.9802189948964007
Global (N = 1),0.43,0.979787721571192
Global (N = 1),0.44,0.9793766074233691
Global (N = 1),0.45,0.9789754539021868
Global (N = 1),0.46,0.9785812350771438
Global (N = 1),0.47,0.9782074886303617
Global (N = 1),0.48,0.9778470532108242
Global (N = 1),0.49,0.9774878545890744
Global (N = 1),0.5,0.9771254701798242
Global (N = 1),0.51,0.9767414379672578
Global (N = 1),0.52,0.976348590397519
Global (N = 1),0.53,0.9759278232918898
Global (N = 1),0.54,0.9754748306959471
Global (N = 1),0.55,0.9749799909379967
Global (N = 1),0.56,0.974447168318442
Global (N = 1),0.57,0.9738586644263201
Global (N = 1),0.58,0.973213975333555
Global (N = 1),0.59,0.9725027431988721
Global (N = 1),0.6,0.9716895858831137
Global (N = 1),0.61,0.9707982240954367
Global (N = 1),0.62,0.9698174424734316
Global (N = 1),0.63,0.9687137445740627
Global (N = 1),0.64,0.9673832281033863
Global (N = 1),0.65,0.96579515932917
Global (N = 1),0.66,0.9639695438441072
Global (N = 1),0.67,0.9618723256165643
Global (N = 1),0.68,0.9595903562556327
Global (N = 1),0.69,0.9572170027900747
Global (N = 1),0.7,0.9547922566430391
Global (N = 1),0.71,0.952159223041988
Global (N = 1),0.72,0.9491149101809059
Global (N = 1),0.73,0.9456262972838113
Global (N = 1),0.74,0.9417151399539093
Global (N = 1),0.75,0.937155586874913
Global (N = 1),0.76,0.9314886292609694
Global (N = 1),0.77,0.9245087940342835
Global (N = 1),0.78,0.9159190536719986
Global (N = 1),0.79,0.9061020774721882
Global (N = 1),0.8,0.8944838140224207
Global (N = 1),0.81,0.8804465743696857
Global (N = 1),0.82,0.8633710994841951
Global (N = 1),0.83,0.8434238538738402
Global (N = 1),0.84,0.8205639060803865
Global (N = 1),0.85,0.7947598048903415
Global (N = 1),0.86,0.7669945242124678
Global (N = 1),0.87,0.737691217508401
Global (N = 1),0.88,0.7075883806212894
Global (N = 1),0.89,0.6765086616132683
Global (N = 1),0.9,0.6445114663477686
Global (N = 1),0.91,0.6116104619911621
Global (N = 1),0.92,0.5773918514611684
Global (N = 1),0.93,0.541986358135193
Global (N = 1),0.94,0.5056428884132669
Global (N = 1),0.95,0.46742968976463517
Global (N = 1),0.96,0.42629576023050825
Global (N = 1),0.97,0.3806809885401795
Global (N = 1),0.98,0.3195920503819836
Global (N = 1),0.99,0.22913330020547393
Global (N = 1),1,0
Hemisphere (N = 4),0.1,0.9922354495768024
Hemisphere (N = 4),0.11,0.9908499353280822
Hemisphere (N = 4),0.12,0.9892954711827961
Hemisphere (N = 4),0.13,0.9878980498819143
Hemisphere (N = 4),0.14,0.9866618917336683
Hemisphere (N = 4),0.15,0.9855429780000459
Hemisphere (N = 4),0.16,0.984314400668511
Hemisphere (N = 4),0.17,0.9831920363418536
Hemisphere (N = 4),0.18,0.9821588194958414
Hemisphere (N = 4),0.19,0.9812618972290656
Hemisphere (N = 4),0.2,0.9804853558116787
Hemisphere (N = 4),0.21,0.9797931183538182
Hemisphere (N = 4),0.22,0.9791790223355253
Hemisphere (N = 4),0.23,0.9786492970383894
Hemisphere (N = 4),0.24,0.9781191655776262
Hemisphere (N = 4),0.25,0.9776091125498526
Hemisphere (N = 4),0.26,0.9771311142943331
Hemisphere (N = 4),0.27,0.9766645252311773
Hemisphere (N = 4),0.28,0.9762618550371813
Hemisphere (N = 4),0.29,0.9759137102901568
Hemisphere (N = 4),0.3,0.975552555982856
Hemisphere (N = 4),0.31,0.9751715333095344
Hemisphere (N = 4),0.32,0.9748115463880948
Hemisphere (N = 4),0.33,0.9744422737752542
Hemisphere (N = 4),0.34,0.9740512401913735
Hemisphere (N = 4),0.35,0.9736354252449153
Hemisphere (N = 4),0.36,0.973215902117143
Hemisphere (N = 4),0.37,0.9728058939777692
Hemisphere (N = 4),0.38,0.9723803694635338
Hemisphere (N = 4),0.39,0.9719495560709013
Hemisphere (N = 4),0.4,0.9714973038382507
Hemisphere (N = 4),0.41,0.9710353600081699
Hemisphere (N = 4),0.42,0.9705460291260828
Hemisphere (N = 4),0.43,0.9700333513387075
Hemisphere (N = 4),0.44,0.9695170542890621
Hemisphere (N = 4),0.45,0.969011075916182
Hemisphere (N = 4),0.46,0.9685255378497188
Hemisphere (N = 4),0.47,0.9680506754655323
Hemisphere (N = 4),0.48,0.9675539764094858
Hemisphere (N = 4),0.49,0.9670086875218808
Hemisphere (N = 4),0.5,0.9663753935063341
Hemisphere (N = 4),0.51,0.965615548097768
Hemisphere (N = 4),0.52,0.9647015168741371
Hemisphere (N = 4),0.53,0.9635877536620834
Hemisphere (N = 4),0.54,0.9622839186524296
Hemisphere (N = 4),0.55,0.9609267224973544
Hemisphere (N = 4),0.56,0.9595422383514849
Hemisphere (N = 4),0.57,0.958144871374034
Hemisphere (N = 4),0.58,0.9567224907659252
Hemisphere (N = 4),0.59,0.9552279038119785
Hemisphere (N = 4),0.6,0.9535929587614058
Hemisphere (N = 4),0.61,0.9517635635170235
Hemisphere (N = 4),0.62,0.9497293848076209
Hemisphere (N = 4),0.63,0.947403174143284
Hemisphere (N = 4),0.64,0.9447489827970161
Hemisphere (N = 4),0.65,0.9415812632998154
Hemisphere (N = 4),0.66,0.9376738164891453
Hemisphere (N = 4),0.67,0.9327848543442004
Hemisphere (N = 4),0.68,0.9266635868087268
Hemisphere (N = 4),0.69,0.9190965982719626
Hemisphere (N = 4),0.7,0.9100510231055746
Hemisphere (N = 4),0.71,0.8996441021760588
Hemisphere (N = 4),0.72,0.8875994283260472
Hemisphere (N = 4),0.73,0.8735097566622034
Hemisphere (N = 4),0.74,0.8577960826043609
Hemisphere (N = 4),0.75,0.8411410976717429
Hemisphere (N = 4),0.76,0.8239514614591118
Hemisphere (N = 4),0.77,0.8063645330468907
Hemisphere (N = 4),0.78,0.7880719281184948
Hemisphere (N = 4),0.79,0.7689318188475284
Hemisphere (N = 4),0.8,0.748869449547808
Hemisphere (N = 4),0.81,0.7282558750580528
Hemisphere (N = 4),0.82,0.7071261631629882
Hemisphere (N = 4),0.83,0.685002636484226
Hemisphere (N = 4),0.84,0.6619270326920617
Hemisphere (N = 4),0.85,0.6376622678385218
Hemisphere (N = 4),0.86,0.6124356415403807
Hemisphere (N = 4),0.87,0.586583111702151
Hemisphere (N = 4),0.88,0.5612486742303177
Hemisphere (N = 4),0.89,0.5361935101245346
Hemisphere (N = 4),0.9,0.5110997212480985
Hemisphere (N = 4),0.91,0.48560305321598096
Hemisphere (N = 4),0.92,0.4585832442740844
Hemisphere (N = 4),0.93,0.4284763350090681
Hemisphere (N = 4),0.94,0.395538774175562
Hemisphere (N = 4),0.95,0.3587457244069466
Hemisphere (N = 4),0.96,0.31829517746665437
Hemisphere (N = 4),0.97,0.2737921554665328
Hemisphere (N = 4),0.98,0.22494421315243474
Hemisphere (N = 4),0.99,0.16599494781754098
Hemisphere (N = 4),1,0
Province (N = 60),0.1,0.908315957957723
Province (N = 60),0.11,0.8999214299549503
Province (N = 60),0.12,0.8901602767584952
Province (N = 60),0.13,0.87770540887650506
Province (N = 60),0.14,0.8654074574688012
Province (N = 60),0.15,0.8541712180008153
Province (N = 60),0.16,0.8439535074745019
Province (N = 60),0.17,0.8347661250394494
Province (N = 60),0.18,0.8264296819463065
Province (N = 60),0.19,0.8187694229052112
Province (N = 60),0.2,0.8121626180555156
Province (N = 60),0.21,0.8066831923916278
Province (N = 60),0.22,0.801475573957117
Province (N = 60),0.23,0.7965344977873525
Province (N = 60),0.24,0.791963299012193
Province (N = 60),0.25,0.7875750144272244
Province (N = 60),0.26,0.7835147309023686
Province (N = 60),0.27,0.7795784087031369
Province (N = 60),0.28,0.7757196698159126
Province (N = 60),0.29,0.771877295500161
Province (N = 60),0.3,0.7679499813344878
Province (N = 60),0.31,0.7643206072432978
Province (N = 60),0.32,0.7608568744408843
Province (N = 60),0.33,0.7575474493653721
Province (N = 60),0.34,0.7541412423805391
Province (N = 60),0.35,0.7502936577338871
Province (N = 60),0.36,0.7460823882094509
Province (N = 60),0.37,0.7415648782350575
Province (N = 60),0.38,0.7370206835183822
Province (N = 60),0.39,0.7323747588753453
Province (N = 60),0.4,0.7273415312011199
Province (N = 60),0.41,0.7220893771428268
Province (N = 60),0.42,0.716918616921217
Province (N = 60),0.43,0.7117674760836581
Province (N = 60),0.44,0.7064152741429653
Province (N = 60),0.45,0.7008586659397743
Province (N = 60),0.46,0.6951238749620136
Province (N = 60),0.47,0.6893107342799583
Province (N = 60),0.48,0.6835086238374168
Province (N = 60),0.49,0.6775813842547149
Province (N = 60),0.5,0.6714306717954591
Province (N = 60),0.51,0.6650902318421047
Province (N = 60),0.52,0.6582776773042686
Province (N = 60),0.53,0.6512194274046468
Province (N = 60),0.54,0.6437261171808382
Province (N = 60),0.55,0.6356456092376298
Province (N = 60),0.56,0.6269755532625414
Province (N = 60),0.57,0.6177027300025497
Province (N = 60),0.58,0.6082258536972002
Province (N = 60),0.59,0.5985016197323969
Province (N = 60),0.6,0.58871170126243
Province (N = 60),0.61,0.5789540285111047
Province (N = 60),0.62,0.5692056229131017
Province (N = 60),0.63,0.5589359519259444
Province (N = 60),0.64,0.548329248764666
Province (N = 60),0.65,0.5377228123521093
Province (N = 60),0.66,0.5270670273569155
Province (N = 60),0.67,0.5161496773226184
Province (N = 60),0.68,0.5047785400345765
Province (N = 60),0.69,0.4930120256553129
Province (N = 60),0.7,0.4811640420166925
Province (N = 60),0.71,0.46898548332744544
Province (N = 60),0.72,0.4566470422136087
Province (N = 60),0.73,0.4446043226363566
Province (N = 60),0.74,0.43305523013351277
Province (N = 60),0.75,0.42138211461345376
Province (N = 60),0.76,0.409430980775838
Province (N = 60),0.77,0.3971963815652048
Province (N = 60),0.78,0.3848686623668156
Province (N = 60),0.79,0.37242768266674625
Province (N = 60),0.8,0.3599687162737445
Province (N = 60),0.81,0.3476193915715812
Province (N = 60),0.82,0.3351156539841485
Province (N = 60),0.83,0.32227705756672337
Province (N = 60),0.84,0.30870840238808234
Province (N = 60),0.85,0.2951780948810427
Province (N = 60),0.86,0.2816461546927953
Province (N = 60),0.87,0.2681579448279141
Province (N = 60),0.88,0.255814318096067
Province (N = 60),0.89,0.24288831100747021
Province (N = 60),0.9,0.2301021508051456
Province (N = 60),0.91,0.21700954385628624
Province (N = 60),0.92,0.2024864777393601
Province (N = 60),0.93,0.1867074827470204
Province (N = 60),0.94,0.16970541417728097
Province (N = 60),0.95,0.15039368444129247
Province (N = 60),0.96,0.12810263960687843
Province (N = 60),0.97,0.10314457886545605
Province (N = 60),0.98,0.07743600942939094
Province (N = 60),0.99,0.04808698580293005
Province (N = 60),1,0
Realm (N = 12),0.1,0.9904769974334331
Realm (N = 12),0.11,0.9899665826680113
Realm (N = 12),0.12,0.9894542363089692
Realm (N = 12),0.13,0.98901453175023335
Realm (N = 12),0.14,0.9885914091732494
Realm (N = 12),0.15,0.9881860459069871
Realm (N = 12),0.16,0.9877679447519225
Realm (N = 12),0.17,0.9872762646591263
Realm (N = 12),0.18,0.98669135022455
Realm (N = 12),0.19,0.9859259918488361
Realm (N = 12),0.2,0.9850443946709427
Realm (N = 12),0.21,0.984108866469259
Realm (N = 12),0.22,0.9831893135061126
Realm (N = 12),0.23,0.9822543926951628
Realm (N = 12),0.24,0.9812826190223507
Realm (N = 12),0.25,0.9802999567796141
Realm (N = 12),0.26,0.9793217672186784
Realm (N = 12),0.27,0.9783588616844542
Realm (N = 12),0.28,0.9773759723601113
Realm (N = 12),0.29,0.976334644457927
Realm (N = 12),0.3,0.9752656831974545
Realm (N = 12),0.31,0.9742518363319678
Realm (N = 12),0.32,0.9732887204061493
Realm (N = 12),0.33,0.9723503355248483
Realm (N = 12),0.34,0.9714414235437118
Realm (N = 12),0.35,0.970539503117431
Realm (N = 12),0.36,0.9696444173929687
Realm (N = 12),0.37,0.9687629915500461
Realm (N = 12),0.38,0.9678454817193418
Realm (N = 12),0.39,0.9668137756144561
Realm (N = 12),0.4,0.965629962037017
Realm (N = 12),0.41,0.9642646114129372
Realm (N = 12),0.42,0.9627784797832223
Realm (N = 12),0.43,0.9612251604558855
Realm (N = 12),0.44,0.9596381032022434
Realm (N = 12),0.45,0.9579668582329619
Realm (N = 12),0.46,0.9561830380261047
Realm (N = 12),0.47,0.9542721280570476
Realm (N = 12),0.48,0.9521311337122992
Realm (N = 12),0.49,0.949753339463312
Realm (N = 12),0.5,0.9470692232730444
Realm (N = 12),0.51,0.944078978400157
Realm (N = 12),0.52,0.940864658334172
Realm (N = 12),0.53,0.9372612833070039
Realm (N = 12),0.54,0.9330847903701741
Realm (N = 12),0.55,0.9282719579754304
Realm (N = 12),0.56,0.9227434212429864
Realm (N = 12),0.57,0.9166066577392061
Realm (N = 12),0.58,0.9096575275407294
Realm (N = 12),0.59,0.9020683467887878
Realm (N = 12),0.6,0.8937322439907063
Realm (N = 12),0.61,0.8848821892810163
Realm (N = 12),0.62,0.8756015817310965
Realm (N = 12),0.63,0.866137591246262
Realm (N = 12),0.64,0.856414242877556
Realm (N = 12),0.65,0.8464116138997343
Realm (N = 12),0.66,0.8359754833289474
Realm (N = 12),0.67,0.8252371212759406
Realm (N = 12),0.68,0.8140066035627703
Realm (N = 12),0.69,0.802375550721071
Realm (N = 12),0.7,0.7904069838450044
Realm (N = 12),0.71,0.7780760088822374
Realm (N = 12),0.72,0.7655720401369629
Realm (N = 12),0.73,0.7530188199962012
Realm (N = 12),0.74,0.7404690830429822
Realm (N = 12),0.75,0.7279066329767541
Realm (N = 12),0.76,0.7152803189568624
Realm (N = 12),0.77,0.7023060183779253
Realm (N = 12),0.78,0.6890509636984901
Realm (N = 12),0.79,0.6757243292699725
Realm (N = 12),0.8,0.6622091340348403
Realm (N = 12),0.81,0.6476471362949843
Realm (N = 12),0.82,0.6315067924152125
Realm (N = 12),0.83,0.6142012389493372
Realm (N = 12),0.84,0.5962289921213442
Realm (N = 12),0.85,0.5777844478537814
Realm (N = 12),0.86,0.5579764014077973
Realm (N = 12),0.87,0.5370476945168448
Realm (N = 12),0.88,0.516385863884487
Realm (N = 12),0.89,0.4944848195639562
Realm (N = 12),0.9,0.4711392943128711
Realm (N = 12),0.91,0.44706895865319957
Realm (N = 12),0.92,0.4216818477747297
Realm (N = 12),0.93,0.39460728318761173
Realm (N = 12),0.94,0.36578958089845875
Realm (N = 12),0.95,0.3341688857922227
Realm (N = 12),0.96,0.29927100192206524
Realm (N = 12),0.97,0.2601559228088706
Realm (N = 12),0.98,0.2141852686588354
Realm (N = 12),0.99,0.1429612506382015
Realm (N = 12),1,0
